condition,run,model,triples_seen_in_training,frequency
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
50L_50NL,2,50L_50NL_2_4,"('d', 'd', 'd')",713
