condition,run,model,triples_seen_in_training,frequency,prediction_status
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'nɡ', 'n')",1167,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('nɡ', 'n', 'n')",1325,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('n', 'n', 'n')",314,0
10L_90NL,1,10L_90NL_1_1,"('s', 's', 's')",1053,0
10L_90NL,1,10L_90NL_1_1,"('s', 's', 's')",1053,0
10L_90NL,1,10L_90NL_1_1,"('s', 's', 's')",1053,0
10L_90NL,1,10L_90NL_1_1,"('s', 'sk', 's')",2770,0
10L_90NL,1,10L_90NL_1_1,"('s', 'sk', 's')",2770,0
10L_90NL,1,10L_90NL_1_1,"('s', 'sk', 's')",2770,0
10L_90NL,1,10L_90NL_1_1,"('s', 'sk', 's')",2770,0
10L_90NL,1,10L_90NL_1_1,"('s', 'sk', 's')",2770,0
10L_90NL,1,10L_90NL_1_1,"('s', 'sk', 's')",2770,0
10L_90NL,1,10L_90NL_1_1,"('s', 's', 's')",1053,0
10L_90NL,1,10L_90NL_1_1,"('s', 's', 's')",1053,0
10L_90NL,1,10L_90NL_1_1,"('s', 'sk', 's')",2770,0
10L_90NL,1,10L_90NL_1_1,"('s', 'sk', 's')",2770,0
10L_90NL,1,10L_90NL_1_1,"('s', 'sk', 's')",2770,0
10L_90NL,1,10L_90NL_1_1,"('s', 'sk', 's')",2770,0
10L_90NL,1,10L_90NL_1_1,"('s', 'sk', 's')",2770,0
10L_90NL,1,10L_90NL_1_1,"('s', 'sk', 's')",2770,0
10L_90NL,1,10L_90NL_1_1,"('s', 'sk', 's')",2770,0
10L_90NL,1,10L_90NL_1_1,"('s', 's', 's')",1053,0
