condition,run,model,triples_seen_in_training,test_frequency,training_frequency
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'nɡ', 'nɡ')",151,110
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'nɡ', 'nɡ')",151,110
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'nɡ', 'nɡ')",151,110
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'nɡ', 'nɡ')",151,110
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'nɡ', 'nɡ')",151,110
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'nɡ', 'nɡ')",151,110
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'nɡ', 'nɡ')",151,110
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'nɡ', 'nɡ')",151,110
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'nɡ', 'nɡ')",151,110
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'nɡ', 'nɡ')",151,110
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'nɡ', 'nɡ')",151,110
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'nɡ', 'nɡ')",151,110
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'n', 'nɡ')",308,57
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('n', 'n', 'nɡ')",140,67
10L_90NL,1,10L_90NL_1_3,"('nɡ', 'nɡ', 'n')",210,111
