condition,run,model,triples_seen_in_training
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
90L_10NL,3,90L_10NL_3_4,"('l', 'l', 'l')"
